Time,PAR,tsec,date
2013-07-27T04:24:44Z,1.2,15884,2013-07-27
2013-07-27T04:25:14Z,1.2,15914,2013-07-27
2013-07-27T04:25:44Z,1.2,15944,2013-07-27
2013-07-27T04:26:14Z,1.2,15974,2013-07-27
2013-07-27T04:26:44Z,1.2,16004,2013-07-27
2013-07-27T04:27:14Z,1.2,16034,2013-07-27
2013-07-27T04:27:44Z,1.2,16064,2013-07-27
2013-07-27T04:28:14Z,1.2,16094,2013-07-27
2013-07-27T04:28:44Z,1.2,16124,2013-07-27
2013-07-27T04:29:14Z,1.2,16154,2013-07-27
2013-07-27T04:29:44Z,1.2,16184,2013-07-27
2013-07-27T04:30:14Z,1.2,16214,2013-07-27
2013-07-27T04:30:44Z,1.2,16244,2013-07-27
2013-07-27T04:31:14Z,1.2,16274,2013-07-27
2013-07-27T04:31:44Z,1.2,16304,2013-07-27
2013-07-27T04:32:14Z,1.2,16334,2013-07-27
2013-07-27T04:32:44Z,1.2,16364,2013-07-27
2013-07-27T04:33:14Z,1.2,16394,2013-07-27
2013-07-27T04:33:44Z,1.2,16424,2013-07-27
2013-07-27T04:34:14Z,1.2,16454,2013-07-27
2013-07-27T04:34:44Z,1.2,16484,2013-07-27
2013-07-27T04:35:14Z,1.2,16514,2013-07-27
2013-07-27T04:35:44Z,1.2,16544,2013-07-27
2013-07-27T04:36:14Z,1.2,16574,2013-07-27
2013-07-27T04:36:44Z,1.2,16604,2013-07-27
2013-07-27T04:37:14Z,1.2,16634,2013-07-27
